method,training_seed,selected_epoch,evaluation_seed,n_rollouts,horizon_limit,num_success,success_rate,mean_return,mean_horizon_steps
State BC,1,600,20260915,100,400,99,0.99,0.99,49.10
State BC-RNN,1,300,20260915,100,400,100,1.00,1.00,42.82
